ankle_angle,knee_angle,hip_angle
5.118824829,12.91259725,27.59827469
5.808547868,13.87464616,28.67235569
5.710797073,13.08408193,25.06930664
6.53348802,15.26214873,27.34846016
6.759107838,15.62868429,25.0875196
7.613022465,17.50308005,25.37367387
8.262082033,19.04433996,24.56038222
9.105939821,20.72916202,23.70391201
10.02615667,22.66587429,23.16571831
10.74464434,24.41733448,22.34068447
11.66110379,26.31163266,21.79578334
12.52889828,28.02592677,21.03330681
13.47528386,29.67167184,20.33251814
14.72256101,31.18911872,19.41301067
15.93116288,32.55558781,18.69778531
17.13121255,33.68740756,17.80487049
18.41586321,34.56901205,16.74034687
19.44464179,35.17054578,15.83817689
20.43160122,35.44428635,14.61785923
21.3741247,35.45380599,13.31534201
21.97403474,35.24579734,12.07281289
22.59764654,34.76273987,10.58213179
22.79783503,34.02059702,9.203814615
22.22426269,33.02620467,7.982683191
21.56601551,31.86234237,6.643179152
20.69685846,30.66508491,5.385941673
19.37741229,29.47054355,4.176391962
17.69528602,28.35272014,3.032804698
15.76707316,27.3846518,2.033608483
13.72153622,26.55272381,0.999099899
11.6162938,25.90328318,-0.030099461
9.602060033,25.3719851,-1.080108296
7.684611562,24.84602609,-2.175703189
5.913593279,24.26910097,-3.153745877
4.596834769,23.53046769,-4.234569795
2.825981348,22.47559222,-5.39626388
0.725782001,21.23414012,-6.492280448
-0.696289939,19.99915581,-7.752855012
-2.776141819,18.73610032,-8.960482014
-5.406052072,17.54032034,-10.11972363
-8.557630445,16.5847565,-11.11922008
-11.81073278,15.84569521,-12.06032441
-13.74949432,15.36800593,-13.26396066
-15.69123732,15.27867692,-14.19372054
-17.48767331,15.63162456,-14.89031128
-18.65678828,16.44620255,-15.55225816
-19.82464772,17.76918414,-15.97165856
-20.65804988,19.59449805,-16.23508099
-21.25331918,21.82676307,-16.39740867
-21.9489068,24.36980177,-16.4262745
-22.63947583,27.20145968,-16.33874013
-23.23810299,30.30353347,-16.15630265
-24.05278827,33.58151983,-15.83399604
-24.89181272,36.99209952,-15.39149076
-25.34038671,40.49509849,-14.8183175
-25.60535085,44.02811384,-14.01505763
-25.6877912,47.60744372,-13.06474181
-25.43271247,51.16375328,-12.03768169
-24.99375653,54.6265401,-10.93621876
-24.43893014,57.94310217,-9.786406556
-23.78523221,60.9898276,-8.698312931
-23.08232191,63.82905716,-7.628885738
-22.28293578,66.52944227,-6.314624465
-21.41606826,69.10614722,-5.01566971
-20.43783367,71.53270993,-3.729406635
-19.38941791,73.78728314,-2.238816975
-18.36907998,75.76642405,-0.777495377
-17.28658696,77.40032105,0.673936215
-16.28575448,78.75073109,2.106690317
-15.37365543,79.71884593,3.643198665
-14.38669133,80.4182765,5.263428575
-13.42336173,80.84916429,6.975761832
-12.34289807,80.90270785,8.937185103
-10.90860234,80.91692511,10.97990027
-9.352435966,80.54705313,13.28141025
-7.986835048,79.55077337,15.64478016
-6.772748889,78.07280313,17.85750237
-5.628406739,76.05471754,19.99220694
-4.364596044,73.49337509,21.69540111
-2.850023256,70.51308676,23.01235145
-1.312543172,67.39423216,24.06419526
0.229062883,64.14869488,24.83084576
1.513775965,60.90665713,25.47370541
2.22949063,57.94224415,26.15733306
2.619841163,54.91766193,26.8930035
2.685425987,51.64274143,27.65094763
2.463579152,48.12923164,28.43825338
2.161356264,44.33028035,29.1362284
2.077669709,40.31781608,29.72548914
2.265241476,36.21518968,30.20676248
2.539857038,32.08437418,30.45538546
2.967910299,28.07620532,30.41327691
3.414711182,24.56259186,30.70492373
3.65510379,21.15315168,30.15654028
3.819147078,18.58094509,30.56247044
3.734426893,16.18216516,30.20610151
3.737855263,14.12231513,29.55921898
3.829164791,13.34363755,30.9804392
3.428008594,11.18343645,27.69177715
4.406572222,12.64200834,32.3621584
3.503677583,9.807069019,25.15871242
