time,hip_flexion_r,knee_angle_r,ankle_angle_r,hip_flexion_l,knee_angle_l,ankle_angle_l
0,38.871681,32.45746932,1.37527994,35.02157132,27.63176906,13.03643031
0.0166667,43.38623879,35.74096892,2.69825194,39.85818533,31.55755751,10.78893116
0.0333333,46.07932498,37.19106672,5.14105187,42.91639627,34.08390115,11.10859039
0.05,48.76227329,40.23237744,9.73568885,46.56647614,39.11636189,14.00440728
0.0666667,51.09957132,44.09926874,14.65702017,49.51754342,43.82212683,17.50158436
0.0833333,53.64967894,48.22600838,18.7949797,52.64473187,47.98860895,19.74802155
0.1,55.68284944,51.4358122,21.2690499,54.75578635,50.77801527,20.92392987
0.1166667,57.91950371,54.4701101,22.83571381,56.94781423,53.46315056,21.77795625
0.1333333,60.60905002,57.49937927,23.89240699,59.46957585,56.08363742,22.64407983
0.15,63.00583979,60.22092174,24.72058817,61.59041755,58.23192752,23.19160292
0.1666667,65.45448629,62.91946389,25.86046479,63.69998271,60.41401188,23.97531418
0.1833333,66.90308497,64.77915075,26.48727257,64.66137723,61.56669876,24.61098932
0.2,69.10527485,67.17585959,26.9722841,66.75219344,63.770726,25.00919321
0.2166667,71.4168182,69.02553692,27.56142505,69.1593565,65.73744778,25.76473692
0.2333333,74.09010948,71.14568408,27.89846085,72.07542542,68.10228728,25.93385658
0.25,76.35662644,73.15532431,28.42352748,74.63258641,70.32089934,26.10633884
0.2666667,78.31546316,75.34512836,28.94221638,76.68966213,72.65139112,26.52823565
0.2833333,80.90446658,77.76875344,29.33826815,79.52944975,75.33282174,26.96525961
0.3,82.74291052,79.82589062,29.68064479,81.40997189,77.40781826,27.47706235
0.3166667,84.59561227,81.41009844,29.72011702,83.37227546,79.15570683,27.83662973
0.3333333,86.50672345,83.17377161,29.73092057,85.36473227,81.00992055,28.07990221
0.35,88.08899929,85.12587423,29.93493132,87.06289408,83.02289823,28.51844196
0.3666667,89.76230349,87.43157858,30.45250871,88.83191618,85.35084518,29.23054235
0.3833333,91.3762777,89.52229087,30.70392783,90.50946252,87.54107481,29.97449509
0.4,93.00209801,91.38766526,30.77460718,92.16371403,89.46969298,30.2679111
0.4166667,94.43164766,93.26681784,30.69368442,93.72608582,91.47262621,30.71833086
0.4333333,96.00106656,95.36108873,30.75801278,95.32831726,93.55910586,31.04550244
0.45,97.66874554,97.62543228,30.9257611,96.99902592,95.81384004,31.80589506
0.4666667,99.38835449,99.94495714,30.8029343,98.56167283,98.01803663,32.14963733
0.4833333,100.7677542,102.0497797,30.74392063,99.91940713,100.0586466,32.3868464
0.5,102.063966,103.6599242,30.49562587,101.2234707,101.6828328,32.6728151
0.5166667,103.3434016,105.0020987,30.34320946,102.4742601,102.9897619,32.79095404
0.5333333,104.1708944,106.2207876,30.09337998,103.3384331,104.2261389,33.01007331
0.55,105.1733595,107.6145771,30.08271374,104.3343297,105.5386111,33.18356741
0.5666667,106.1040498,109.044895,29.9387618,105.1931639,106.8967483,33.45743085
0.5833333,107.4083348,110.6478721,29.64454958,106.4331569,108.4164365,33.74206514
0.6,108.5562381,112.1734727,29.64288948,107.4190878,109.9126127,34.35711831
0.6166667,109.5479969,113.2834455,29.43511208,108.2160333,110.9993515,34.72134462
0.6333333,110.3741203,114.2149294,29.29138893,108.9946246,111.9978027,35.13847096
0.65,110.8440603,115.3463349,29.21683699,109.4509537,113.1489599,35.82082864
0.6666667,111.4004154,116.929456,29.43178013,109.9803303,114.7086652,36.74067854
0.6833333,111.9187378,118.784183,29.92255184,110.4155852,116.5129877,38.03021814
0.7,112.4367115,120.5493106,30.57742679,111.2026587,118.4272522,39.6486872
0.7166667,112.9552718,122.2325108,31.15506869,111.7849901,120.2474407,41.06974584
0.7333333,113.4722262,123.607002,32.05156183,112.5932385,121.8636076,42.42322746
0.75,113.8821838,124.8506467,32.70915784,113.1759101,123.2919351,43.51973736
0.7666667,114.3150172,126.0406837,33.28950461,113.8899163,124.70813,44.43476976
0.7833333,114.7053953,127.2455114,33.87316757,114.6337419,126.0953286,45.42497793
0.8,115.0591838,128.6323848,34.63970008,115.3601,127.5713204,46.50502158
0.8166667,115.2104649,129.9297782,35.44692956,115.7644213,128.9581024,47.33293674
0.8333333,115.5952286,130.9436587,36.11013035,116.4786311,130.2769017,47.92499082
0.85,115.8783226,131.7293504,36.627324,116.9900525,131.2648293,48.32716707
0.8666667,116.1002953,132.1125823,36.92805222,117.3821425,131.8446471,48.58203923
0.8833333,116.0957413,132.307959,37.0046338,117.4448684,132.0875094,48.69444266
0.9,116.2395019,131.946068,37.20173224,118.1240668,132.0618633,48.92383237
0.9166667,116.1336719,131.3629117,36.98819241,118.1631241,131.686302,48.91843606
0.9333333,116.0421247,130.3963884,36.3389068,118.1028122,130.9388005,48.73756564
0.95,116.0098066,129.0264399,35.16310234,117.9570297,129.7597794,48.22374557
0.9666667,115.9744591,127.5375159,33.89218696,117.8550528,128.3693974,47.44225348
